user_name,user_cpf,user_email,track_id,rating_track,n_listen
User5,50232468489,user5@example.com,3EJS5LyekDim1Tf5rBFmZl,2,33
User5,50232468489,user5@example.com,3EJS5LyekDim1Tf5rBFmZl,1,17
User3,52976634844,user3@example.com,1oQW6G2ZiwMuHqlPpP27DB,4,22
User5,50232468489,user5@example.com,1oQW6G2ZiwMuHqlPpP27DB,1,1
User2,96581948845,user2@example.com,1oQW6G2ZiwMuHqlPpP27DB,2,8
User10,48017760206,user10@example.com,1oQW6G2ZiwMuHqlPpP27DB,5,28
User1,81535322800,user1@example.com,1oQW6G2ZiwMuHqlPpP27DB,3,3
User1,81535322800,user1@example.com,7mdkjzoIYlf1rx9EtBpGmU,4,48
User9,97091540855,user9@example.com,7mdkjzoIYlf1rx9EtBpGmU,2,29
User1,81535322800,user1@example.com,7mdkjzoIYlf1rx9EtBpGmU,3,44
User1,81535322800,user1@example.com,7mdkjzoIYlf1rx9EtBpGmU,1,17
User3,52976634844,user3@example.com,7mdkjzoIYlf1rx9EtBpGmU,1,7
User3,52976634844,user3@example.com,67rW0Zl7oB3qEpD5YWWE5w,2,18
User6,30974519179,user6@example.com,67rW0Zl7oB3qEpD5YWWE5w,2,42
User7,39570085044,user7@example.com,67rW0Zl7oB3qEpD5YWWE5w,5,27
User2,96581948845,user2@example.com,15xptTfRBrjsppW0INUZjf,1,19
User2,96581948845,user2@example.com,4ccpCcZYseq8VrPMK1EDs0,3,17
User8,99919249023,user8@example.com,4ccpCcZYseq8VrPMK1EDs0,2,3
User5,50232468489,user5@example.com,3QoQ3HqXTAjgEl9LbNMbYp,5,4
User2,96581948845,user2@example.com,3QoQ3HqXTAjgEl9LbNMbYp,1,9
User1,81535322800,user1@example.com,3QoQ3HqXTAjgEl9LbNMbYp,2,4
User2,96581948845,user2@example.com,3QoQ3HqXTAjgEl9LbNMbYp,1,5
User1,81535322800,user1@example.com,3QoQ3HqXTAjgEl9LbNMbYp,1,37
User4,23242521887,user4@example.com,1YEZbdT417SfolPQzaoHs2,5,47
User10,48017760206,user10@example.com,1YEZbdT417SfolPQzaoHs2,4,5
User9,97091540855,user9@example.com,1YEZbdT417SfolPQzaoHs2,1,4
User4,23242521887,user4@example.com,4pZ949nFW5SurwzE0TSe7I,2,17
User10,48017760206,user10@example.com,4pZ949nFW5SurwzE0TSe7I,1,35
User4,23242521887,user4@example.com,4pZ949nFW5SurwzE0TSe7I,1,47
User8,99919249023,user8@example.com,4pZ949nFW5SurwzE0TSe7I,1,16
User3,52976634844,user3@example.com,0L0LgwFZ7UtBnRNQvSBty6,1,50
User5,50232468489,user5@example.com,0L0LgwFZ7UtBnRNQvSBty6,3,47
User8,99919249023,user8@example.com,0L0LgwFZ7UtBnRNQvSBty6,1,32
User4,23242521887,user4@example.com,5mfAZwEr4jAVDnSY0HHuyH,4,28
User5,50232468489,user5@example.com,5mfAZwEr4jAVDnSY0HHuyH,3,12
User7,39570085044,user7@example.com,5mfAZwEr4jAVDnSY0HHuyH,4,9
User3,52976634844,user3@example.com,5mfAZwEr4jAVDnSY0HHuyH,3,21
User2,96581948845,user2@example.com,5mfAZwEr4jAVDnSY0HHuyH,2,6
User9,97091540855,user9@example.com,4V1Sh9Y2z6e8HpzNOet5rC,3,16
User8,99919249023,user8@example.com,4V1Sh9Y2z6e8HpzNOet5rC,1,34
User1,81535322800,user1@example.com,4V1Sh9Y2z6e8HpzNOet5rC,3,4
User8,99919249023,user8@example.com,4V1Sh9Y2z6e8HpzNOet5rC,2,38
